Abflusssystem;Abfluſsſystem
Haushaltssanierungsgesetz;Haushaltsſanierungsgeſetz
häuslich;häuslich
Hausmusik;Hausmuſik
Hausschließung;Hausſchließung
Heiratsschwindel;Heiratsſchwindel
Herrschaft;Herrſchaft
Hesse;Heſſe
hopsen;hopſen
Identitätskrise;Identitätskriſe
Imbiss;Imbiſs
Imbissstand;Imbiſsſtand
Impessum;Impreſſum
Inkludist;Inkludiſt
insbesondere;insbeſondere
Insel;Inſel
intensiv;intenſiv
interessant;intereſſant
ist;iſt
Jagdschloss;Jagdſchloſs
Käse;Käſe
Kaserne;Kaſerne
Kassette;Kaſſette
kastrieren;kaſtrieren
Katastrophe;Kataſtrophe
keinesfalls;keinesfalls
Kenntnisstand;Kenntnisſtand
Klassenunterschiede;Klaſſenunterſchiede
Klassik;Klaſſik
klassisch;klaſſiſch
Klönschnack;Klönſchnack
Knospe;Knoſpe
Koalitionsstreit;Koalitionsſtreit
komisch;komiſch
Kompression;Kompreſſion
Kompromiss;Kompromiſs
kosmisch;kosmiſch
kostenlos;koſtenlos
Kongress;Kongreſs
konservativ;konſervativ
Konsortium;Konſortium
konstruktiv;konſtruktiv
Konsum;Konſum
kosmisch;kosmiſch
Kosmos;Kosmos
Kreissparkasse;Kreisſparkaſſe
Kriegszustand;Kriegszuſtand
Kündigungsschutz;Kündigungsſchutz
Kunst;Kunſt
Kürbisspalten;Kürbisſpalten
Kuss;Kuſs
Küsse;Küſſe
küssen;küſſen
Landessparkasse;Landesſparkaſſe
Landessprache;Landesſprache
längst;längſt
lassen;laſſen
lebenslustig;lebensluſtig
Lebensstandard;Lebensſtandard
Lebensstil;Lebensſtil
Leistungssport;Leiſtungsſport
lesbar;lesbar
lesbisch;lesbiſch
lesen;leſen
Liebesbrief;Liebesbrief
Liste;Liſte
löschen;löſchen
lösen;löſen
lossagen;losſagen
Lösung;Löſung
Lust;Luſt
Machbarkeitsstudie;Machbarkeitsſtudie
Masse;Maſſe
massiv;maſſiv
Masturbation;Maſturbation
Maßstab;Maßſtab
Maus;Maus
mauscheln;mauſcheln
Mäuschen;Mäuschen
Mäuslein;Mäuslein
Maustaste;Maustaſte
Meerschweinchen;Meerſchweinchen
Mephistopheles;Mephiſtopheles
Mesner;Mesner
Messe;Meſſe
messen;meſſen
Minister;Miniſter
Misanthrop;Miſanthrop
Missbrauch;Miſsbrauch
missachten;miſsachten
Missionsschwestern;Miſſionsſchweſtern
Missstand;Miſsſtand
Misstrauen;Miſstrauen
Mist;Miſt
Mittagsschlaf﻿;Mittagsſchlaf﻿
Mittagsstunde;Mittagsſtunde
Mönchsschrift;Mönchsſchrift
Monster;Monſter
Muskel;Muskel
Muslim;Muslim
müssen;müſſen
Nachsicht;Nachſicht
nachweisbar;nachweisbar
nächster;nächſter
Namensschild;Namensſchild
Namensstempel;Namensſtempel
Nase;Naſe
Nationalismus;Nationalismus
Niedersachsen;Niederſachſen
niedersächsisch;niederſächſiſch
Nutzungsszenario;Nutzungsſzenario
Obelisk;Obelisk
Obst;Obſt
offensiv;offenſiv
Opposition;Oppoſition
Ostern;Oſtern
Papst;Papſt
Parlamentssitzung;Parlamentsſitzung
passen;paſſen
Passion;Paſſion
Physik;Phyſik
Pläsierchen;Pläſierchen
Polizist;Poliziſt
Post;Poſt
Postschiff;Poſtſchiff
Preissenkung;Preisſenkung
Preisstabilität;Preisſtabilität
Presseschau;Preſſeſchau
Prestige;Prestige
Professor;Profeſſor
Prozessor;Prozeſſor
Psyche;Pſyche
Qualitätssicherung;Qualitätsſicherung
Quatsch;Quatſch
Rätsel;Rätſel
Realismus;Realismus
Rechenschieber;Rechenſchieber
Rechtsschutz;Rechtsſchutz
Rechtssicherheit;Rechtsſicherheit
